text,true_label,pred_label,prob_spam
招聘信息 业务拓展专员x名,0,1,0.6077055300813605
茱莉蔻亲亲宝贝双效洗发沐浴露200ml,0,1,0.6581000403214649
价微信 xoxoxoxoxxxx诚信经营的,0,1,0.6113005913250797
浙江省诸暨市大桥路深蓝中心xx号国贸对面蜜坐拖欠员工工资,0,1,0.7387946526666362
我想看少包第一部86西游记老版还珠格格苏有朋版倚天屠龙记至尊红颜孝庄秘史康熙王朝聊斋,0,1,0.5176576852420354
领导您好 您还记得让国人为之骄傲且震撼全世界的北京xxxx奥运会吗 您还记得 北京欢迎您 的五个福娃宝宝吗 从xxxx年到今天长达x年的酝酿 羊年春晚首发吉祥物 阳阳 穿越岁月的风尘 可爱的生肖宝玺羊玺正在向你走来 您是否又有当年购买 福娃宝宝 那时的冲动呢 冯文文,1,0,0.3545589296609137
如何设计适合企业当下的分配机制和晋升机制来激发销售团队的欲望 孵化销售干将 如何让销售人员坚信此行业 相信此产品 追随此老板 解决销售人员流动性大 不能扎根企业的人才难题 如何才能找到产品的卖点 客户的核心需求 如何巧妙引导化解客户的抗拒 成为销售行业的顶级杀手 精彩销售实战应用尽在x月x x日义乌娄强老师 销售战神 开课地点 浙江 义乌 投资金额 x萬元 xx人 x萬元 xx人 玖零丽丽敬上,1,0,0.3745797701380511
创业担保贷款期限最长不超过x年,0,1,0.5962408794598392
亲们 米格印象新一轮活动又开始了 依旧是xxx写真团购卡 内景三套个人写真随心拍摄 本月在小鱼这里顶写真的第八位 第十八位 二十八 三,1,0,0.397742301799991
com现有Kipling猩猩包返校季特卖低至5,0,1,0.8201018433549954
重磅消息 泰康人寿撼动市场的畅赢人生保险计划隆重登场 缴费xx年 交满就开始领钱 今年交多少 领钱时就每年领多少 直到xx岁 而且保证,1,0,0.3783505217475006
强烈谴责农业银行信用卡中心,0,1,0.9273979648050453
谢谢十堰iphone6plus国行64G直接先款,0,1,0.7434358896841875
猪哥频道猪哥高层勾结曾盗人,0,1,0.5341591895429527
大家好 有没有想找工作的 根据公司发展需求 大量招聘陕西省西安市 渭南 延安 榆林 商洛 安康 汉中 宝鸡 咸阳 各地区 县级药品销售,1,0,0.2917408884966743
文艺美学 建筑学 医学 人类学 哲学 美术,0,1,0.8997868971283673
急聘 急聘 急聘现在有支付宝和懂淘宝的兄弟姐妹们 给淘宝商家提人气 刷好评 每单x xx块不等 x xx分钟一单左右 不敢保证日赚百元 但基本每天可以有工资xx xxx左右 红包和远程单 不需要你出一分钱拍单 不需要流动资金 注意要流动资金的都是骗人 也可长期做 有店铺的朋友也可以来我们平台提高自己店的信誉跟销量 联系方式 QQ xxxxxxxxxx 非 诚勿扰,1,0,0.14257826144232175
成辉广告 青海专业信息资讯发布平台 专做招聘 房屋租转 售 宣传等广告 报纸 网站 微信 三个平台同时发布 三天内全市覆盖无死角,1,0,0.26529410201355763
并于x月xx日 x月x日期间进行数字证书授权,0,1,0.8972557678628756
愿明晰更多的疑虑心界更为宽广 不屈服于命里的相遇相识,0,1,0.5026817563971088
地址 O PLAZA欢乐海岸购物中心南湖广场玻璃房,0,1,0.8980278495142583
